Time,AI5,AI6
2019-11-06 11:19:25,220,99
2019-11-06 11:19:26,220,99
2019-11-06 11:19:27,220,99
2019-11-06 11:19:28,220,99
2019-11-06 11:19:29,220,99
2019-11-06 11:19:30,220,99
2019-11-06 11:19:31,220,99
2019-11-06 11:19:32,220,99
2019-11-06 11:19:33,220,99
2019-11-06 11:19:34,220,99
2019-11-06 11:19:35,220,99
2019-11-06 11:19:36,220,99
2019-11-06 11:19:37,220,99
2019-11-06 11:19:38,220,99
2019-11-06 11:19:39,220,99
2019-11-06 11:19:40,220,99
2019-11-06 11:19:41,220,99
2019-11-06 11:19:42,220,99
2019-11-06 11:19:43,220,99
2019-11-06 11:19:44,220,99
2019-11-06 11:19:45,220,99
2019-11-06 11:19:46,220,99
2019-11-06 11:19:47,220,99
2019-11-06 11:19:48,220,99
2019-11-06 11:19:49,220,99
2019-11-06 11:19:50,220,99
2019-11-06 11:19:51,220,99
2019-11-06 11:19:52,220,99
2019-11-06 11:19:53,220,99
2019-11-06 11:19:54,220,99
2019-11-06 11:19:55,220,99
2019-11-06 11:19:56,220,99
2019-11-06 11:19:57,220,99
2019-11-06 11:19:58,220,99
2019-11-06 11:19:59,220,99
2019-11-06 11:20:00,220,99
2019-11-06 11:20:01,220,99
2019-11-06 11:20:02,220,99
2019-11-06 11:20:03,220,99
2019-11-06 11:20:04,220,99
2019-11-06 11:20:05,220,99
2019-11-06 11:20:06,220,99
2019-11-06 11:20:07,220,99
2019-11-06 11:20:08,220,99
2019-11-06 11:20:09,220,99
2019-11-06 11:20:10,220,99
2019-11-06 11:20:11,220,99
2019-11-06 11:20:12,220,99
2019-11-06 11:20:13,220,99
2019-11-06 11:20:14,220,99
2019-11-06 11:20:15,220,99
2019-11-06 11:20:16,220,99
2019-11-06 11:20:17,220,99
2019-11-06 11:20:18,220,99
2019-11-06 11:20:19,220,99
2019-11-06 11:20:20,220,99
2019-11-06 11:20:21,220,99
2019-11-06 11:20:22,220,99
2019-11-06 11:20:23,220,99
2019-11-06 11:20:24,220,99
2019-11-06 11:20:25,220,99
2019-11-06 11:20:26,220,99
2019-11-06 11:20:27,220,99
2019-11-06 11:20:28,220,99
2019-11-06 11:20:29,220,99
2019-11-06 11:20:30,220,99
2019-11-06 11:20:31,220,99
2019-11-06 11:20:32,220,99
2019-11-06 11:20:33,220,99
2019-11-06 11:20:34,220,99
2019-11-06 11:20:35,220,99
2019-11-06 11:20:36,220,99
2019-11-06 11:20:37,220,99
2019-11-06 11:20:38,220,99
2019-11-06 11:20:39,220,99
2019-11-06 11:20:40,220,99
2019-11-06 11:20:41,220,99
2019-11-06 11:20:42,220,99
2019-11-06 11:20:43,220,99
2019-11-06 11:20:44,220,99
2019-11-06 11:20:45,220,99
2019-11-06 11:20:46,220,99
2019-11-06 11:20:47,220,99
2019-11-06 11:20:48,220,99
2019-11-06 11:20:49,220,99
2019-11-06 11:20:50,220,98
2019-11-06 11:20:51,220,98
2019-11-06 11:20:52,220,98
2019-11-06 11:20:53,220,98
2019-11-06 11:20:54,220,98
2019-11-06 11:20:55,220,98
2019-11-06 11:20:56,220,98
2019-11-06 11:20:57,220,98
2019-11-06 11:20:58,220,98
2019-11-06 11:20:59,220,98
2019-11-06 11:21:00,220,98
2019-11-06 11:21:01,220,98
2019-11-06 11:21:02,220,98
2019-11-06 11:21:03,220,98
2019-11-06 11:21:04,220,98
2019-11-06 11:21:05,220,98
2019-11-06 11:21:06,220,98
2019-11-06 11:21:07,220,98
2019-11-06 11:21:08,220,98
2019-11-06 11:21:09,220,98
2019-11-06 11:21:10,220,98
2019-11-06 11:21:11,220,98
2019-11-06 11:21:12,220,98
2019-11-06 11:21:13,220,98
2019-11-06 11:21:14,220,98
2019-11-06 11:21:15,220,98
2019-11-06 11:21:16,220,98
2019-11-06 11:21:17,220,98
2019-11-06 11:21:18,220,98
2019-11-06 11:21:19,220,98
2019-11-06 11:21:20,220,98
2019-11-06 11:21:21,220,98
2019-11-06 11:21:22,220,98
2019-11-06 11:21:23,220,98
2019-11-06 11:21:24,220,98
2019-11-06 11:21:25,220,98
2019-11-06 11:21:26,220,98
2019-11-06 11:21:27,220,98
2019-11-06 11:21:28,220,98
2019-11-06 11:21:29,220,98
2019-11-06 11:21:30,220,98
2019-11-06 11:21:31,220,98
2019-11-06 11:21:32,220,98
2019-11-06 11:21:33,220,98
2019-11-06 11:21:34,220,98
2019-11-06 11:21:35,220,98
2019-11-06 11:21:36,220,98
2019-11-06 11:21:37,220,98
2019-11-06 11:21:38,220,98
2019-11-06 11:21:39,220,98
2019-11-06 11:21:40,220,98
2019-11-06 11:21:41,220,98
2019-11-06 11:21:42,220,98
2019-11-06 11:21:43,220,98
2019-11-06 11:21:44,220,98
2019-11-06 11:21:45,220,98
2019-11-06 11:21:46,220,98
2019-11-06 11:21:47,220,98
2019-11-06 11:21:48,220,98
2019-11-06 11:21:49,220,98
2019-11-06 11:21:50,220,98
2019-11-06 11:21:51,220,98
2019-11-06 11:21:52,220,98
2019-11-06 11:21:53,220,98
2019-11-06 11:21:54,220,98
2019-11-06 11:21:55,219,98
2019-11-06 11:21:56,219,98
2019-11-06 11:21:57,219,98
2019-11-06 11:21:58,219,98
2019-11-06 11:21:59,219,98
2019-11-06 11:22:00,219,98
2019-11-06 11:22:01,219,98
2019-11-06 11:22:02,219,98
2019-11-06 11:22:03,219,98
2019-11-06 11:22:04,219,98
2019-11-06 11:22:05,219,98
2019-11-06 11:22:06,219,98
2019-11-06 11:22:07,219,98
2019-11-06 11:22:08,219,98
2019-11-06 11:22:09,219,98
2019-11-06 11:22:10,219,98
2019-11-06 11:22:11,219,98
2019-11-06 11:22:12,219,98
2019-11-06 11:22:13,219,98
2019-11-06 11:22:14,219,98
2019-11-06 11:22:15,219,98
2019-11-06 11:22:16,219,98
2019-11-06 11:22:17,219,98
2019-11-06 11:22:18,219,98
2019-11-06 11:22:19,219,98
2019-11-06 11:22:20,219,98
2019-11-06 11:22:21,219,98
2019-11-06 11:22:22,219,98
2019-11-06 11:22:23,219,98
2019-11-06 11:22:24,219,98
2019-11-06 11:22:25,219,98
2019-11-06 11:22:26,219,98
2019-11-06 11:22:27,219,98
2019-11-06 11:22:28,219,98
2019-11-06 11:22:29,219,98
2019-11-06 11:22:30,219,98
2019-11-06 11:22:31,219,98
2019-11-06 11:22:32,219,98
2019-11-06 11:22:33,219,98
2019-11-06 11:22:34,219,98
2019-11-06 11:22:35,219,98
2019-11-06 11:22:36,219,98
2019-11-06 11:22:37,219,98
2019-11-06 11:22:38,219,98
2019-11-06 11:22:39,219,98
2019-11-06 11:22:40,219,98
2019-11-06 11:22:41,219,98
2019-11-06 11:22:42,219,98
2019-11-06 11:22:43,219,98
2019-11-06 11:22:44,219,98
2019-11-06 11:22:45,219,98
2019-11-06 11:22:46,219,98
2019-11-06 11:22:47,219,98
2019-11-06 11:22:48,219,98
2019-11-06 11:22:49,219,98
2019-11-06 11:22:50,219,98
2019-11-06 11:22:51,219,98
2019-11-06 11:22:52,219,98
